,,,Hour,Minute,Temp,Rel Humidity,Global Solar Rad
2005,1,4,9,9,59,64,45
2005,1,4,9,19,59,64,54
2005,1,4,9,29,59,64,63
2005,1,4,9,39,59,64,72
2005,1,4,9,49,59,64,81
2005,1,4,9,59,59,64,90
2005,1,4,10,9,59,63.5,83.83333333
2005,1,4,10,19,59,63,77.66666667
2005,1,4,10,29,59,62.5,71.5
2005,1,4,10,39,59,62,65.33333333
2005,1,4,10,49,59,61.5,59.16666667
2005,1,4,10,59,59,61,53
2005,1,4,11,9,59,61,52.66666667
2005,1,4,11,19,59,61,52.33333333
2005,1,4,11,29,59,61,52
2005,1,4,11,39,59,61,51.66666667
2005,1,4,11,49,59,61,51.33333333
2005,1,4,11,59,59,61,51
2005,1,4,12,9,59,61.66666667,56.83333333
2005,1,4,12,19,59,62.33333333,62.66666667
2005,1,4,12,29,59,63,68.5
2005,1,4,12,39,59,63.66666667,74.33333333
2005,1,4,12,49,59,64.33333333,80.16666667
2005,1,4,12,59,59,65,86
2005,1,4,13,9,59,64.33333333,88.5
2005,1,4,13,19,59,63.66666667,91
2005,1,4,13,29,59,63,93.5
2005,1,4,13,39,59,62.33333333,96
2005,1,4,13,49,59,61.66666667,98.5
2005,1,4,13,59,59,61,101
2005,1,4,14,9,59,61.16666667,84.16666667
2005,1,4,14,19,59,61.33333333,67.33333333
2005,1,4,14,29,59,61.5,50.5
2005,1,4,14,39,59,61.66666667,33.66666667
2005,1,4,14,49,59,61.83333333,16.83333333
2005,1,4,14,59,59,62,0
2005,1,4,15,9,59,61.83333333,0
2005,1,4,15,19,59,61.66666667,0
2005,1,4,15,29,59,61.5,0
2005,1,4,15,39,59,61.33333333,0
2005,1,4,15,49,59,61.16666667,0
2005,1,4,15,59,59,61,0
2005,1,4,16,9,59,61,0
2005,1,4,16,19,59,61,0
2005,1,4,16,29,59,61,0
2005,1,4,16,39,59,61,0
2005,1,4,16,49,59,61,0
2005,1,4,16,59,59,61,0
2005,1,4,17,9,59,60.5,0
2005,1,4,17,19,59,60,0
2005,1,4,17,29,59,59.5,0
2005,1,4,17,39,59,59,0
2005,1,4,17,49,59,58.5,0
2005,1,4,17,59,59,58,0
2005,1,4,18,9,59,57.5,0
2005,1,4,18,19,59,57,0
2005,1,4,18,29,59,56.5,0
2005,1,4,18,39,59,56,0
2005,1,4,18,49,59,55.5,0
2005,1,4,18,59,59,55,0
